id,adaptibility,danceability,duration,energy,explicit,happening,instrumentalness,loudness,mode,naturality,positiveness,release_date,reputation,speechiness,tempo,time_signature,total_tracks
XNlPJ4g6lykDlNMY,7,80.0,289915.0,90.10000000000001,False,0.0466,1.56e-05,-5.667999999999999,6,0.0331,0.451,2019-09-06,43,0.229,150.057,4,9
uUdShl4Kvxw8QiEo,1,60.8,448857.0,74.5,False,0.0942,6.47e-06,-3.26,6,0.0226,0.464,2022-06-24,83,0.0277,102.025,4,12
+AkZzw6DhW6542Uf,11,71.1,339999.0,48.3,False,0.0284,0.012,-17.422,6,0.434,0.884,1967-01-01,62,0.0298,91.652,4,11
R3VmSI5zqpBfo9KP,8,62.9,1172991.0,27.800000000000004,False,0.106,0.000229,-19.458,6,0.662,0.503,1959-08-17,55,0.0329,128.453,4,5
ECKrHB97DF5bMXa5,10,80.5,261545.0,77.2,False,0.103,0.00112,-7.804,5,0.306,0.962,2015-10-09,52,0.115,81.711,4,10
l7HHBwihJeXuPaeS,9,71.7,502351.0,73.0,False,0.398,0.0,-4.458,5,0.383,0.792,2018-11-30,75,0.0568,,4,16
PZS3Pz4ZCli6akWU,5,62.8,386831.0,53.1,True,0.23,0.0,-11.372,5,0.195,0.262,2023-05-19,59,0.263,139.891,4,9
ZBNP8RC2VJgooO4i,0,40.9,581177.0,89.0,False,0.0935,0.107,-8.678,6,0.088,0.268,1982,59,,100.409,4,8
rOwkLLYILkYmFJzp,5,53.2,,,False,0.217,0.0,-6.507999999999999,6,0.0409,0.67,2004-01-22,65,0.0503,90.187,4,11
tFl0HZcQewZDpNNQ,1,74.2,379925.0,71.3,False,0.059,0.0,-6.0440000000000005,5,0.0205,0.879,2014-09-02,86,0.0303,,4,12
2cowoxWM1Okk2T3/,10,68.4,270745.0,95.5,True,0.35,2.01e-06,-4.7379999999999995,6,0.273,0.961,2023-06-16,43,0.21,161.929,4,1
zwTqLgT6Lf1dD7kE,10,81.69999999999999,487895.0,56.39999999999999,False,0.356,0.803,-10.558,5,0.0984,0.558,2018-03-27,62,0.0354,,4,8
eF0rSgQ6SEJ06IN9,9,69.89999999999999,411845.0,71.3,False,0.294,3.11e-06,-6.013999999999999,5,0.04,0.354,2018-08-17,79,0.0594,121.993,4,15
N3SzbT1VJBGiu7+0,5,56.49999999999999,275635.0,94.39999999999999,True,0.213,0.00208,-1.572,6,0.0146,0.554,2020-05-15,37,0.187,180.1,4,10
FNtrF9m0E0USPMDf,11,53.7,594697.0,82.0,False,0.432,1.93e-06,-9.022,5,0.256,0.881,1978-04-20,64,0.127,94.429,4,9
XQy1xQ9rnG6loOQB,6,68.10000000000001,438325.0,79.5,False,0.109,9.41e-06,-8.304,6,0.305,0.64,2014-10-07,68,0.049,135.939,4,15
OU1QgRiBlxlyvE/Q,2,,589205.0,79.80000000000001,False,0.113,0.0224,-19.886,5,0.0922,0.238,1983,47,0.0654,132.281,4,19
i3+Gmi8MASJc3U56,8,74.0,462173.0,70.7,False,0.0909,0.888,-15.928,5,0.0422,0.969,2018-12-07,50,0.0539,133.715,4,10
H/pMyVmdips5GmLP,8,46.6,469765.0,96.7,False,0.305,0.198,-1.0019999999999998,6,6.21e-06,0.294,2005-01-01,62,0.0515,95.998,4,10
KF286sJbYn07g4wp,0,54.800000000000004,348005.0,81.6,False,0.335,0.0,-3.4179999999999993,6,0.122,0.557,2019-12-13,89,0.0465,95.39,4,12
Xu8ubN3fiH/4ikfD,8,40.0,399737.0,99.4,True,0.145,0.097,-9.68,5,3.65e-05,0.253,2015-09-11,66,0.0625,104.134,4,12
oD96CT+nUoLyXMgO,6,57.8,476591.0,85.39999999999999,False,0.146,0.00141,-8.116,5,0.0265,0.424,1980,54,0.0296,101.181,4,11
cqZDus4df4xvVZ9w,8,53.6,420991.0,72.3,False,0.288,0.00812,-22.796,5,0.165,0.916,1982-01-15,48,0.0415,126.737,4,10
G4kpjo4fN+QkukxZ,1,42.5,839257.0,4.29,False,0.148,0.0184,-44.72,6,0.951,0.255,1961-01-01,59,0.0408,96.097,4,6
O8YBnZmOUxMvrOMp,4,64.3,377791.0,79.0,False,0.107,0.0,-7.1579999999999995,6,0.29,0.808,2020-11-20,77,0.0461,95.981,4,15
kflIdpk9hqzfe3wN,0,51.300000000000004,329097.0,54.6,False,0.17,0.0,-26.344,6,0.333,0.834,1958-01-01,58,0.0391,85.527,4,12
i9DcfMqZ9cdgljmZ,0,71.0,388485.0,31.8,False,0.169,0.00038,-12.896,5,0.867,0.58,1960-01-01,58,0.0432,126.05,4,10
/jGJr4EpqbIRh1K9,11,68.10000000000001,377013.0,71.0,True,0.367,3.02e-05,-8.286,5,0.155,0.254,2023-06-23,73,0.0574,89.957,4,1
Uuq2Kn8Kkg600oo4,2,,458805.0,74.1,False,0.117,1.87e-06,,6,0.347,0.635,2010-11-02,76,0.0357,127.024,4,15
6GUrzjZ1HuEgvsSn,0,66.3,709071.0,26.400000000000002,False,0.1,0.0,-24.142,6,0.706,0.657,1997-05-20,66,,122.482,4,47
Qp4YuceEunSymFPz,6,56.599999999999994,476297.0,71.3,False,0.114,0.0,-3.5,6,0.645,0.805,2008-11-17,81,0.0418,169.861,4,12
hxSK+1jtzy8SuQqM,1,51.4,321341.0,93.60000000000001,False,0.0728,0.0297,-2.034,5,0.0065,0.201,2020-05-22,51,0.23,127.914,4,1
XC66pxlOWc3i4yod,11,54.800000000000004,451071.0,59.8,False,0.155,3.63e-05,-11.771999999999998,5,0.347,0.36,2023-07-14,62,0.25,136.618,4,13
4LR56/zVOlnJ9Ast,7,77.8,312005.0,96.0,True,0.0602,0.00808,-3.1099999999999994,6,0.0957,0.8,2022-09-02,49,0.105,159.986,4,1
AhL5pIgsFr/6dfrn,10,42.699999999999996,399753.0,27.800000000000004,False,0.135,2.22e-05,-12.66,6,0.47,0.374,2023-04-12,65,0.0331,85.633,3,2
v/0S9f5L/UEUzjTG,0,61.3,580325.0,82.0,False,0.049,1.45e-06,-15.350000000000001,6,0.181,0.465,1975-08-16,62,0.0737,115.125,4,7
pDlcRLCkRJg7+3Vr,0,60.6,296325.0,70.6,False,0.16,0.0,-14.329999999999998,6,0.362,0.819,1992-10-09,75,0.0379,174.533,4,10
+iWqZy0mvy6RMpgr,11,73.7,318455.0,91.4,False,0.251,5.98e-06,1.702,6,0.0173,0.767,2020-09-25,42,0.0697,155.07,4,1
Z+lNRrLlFj3HCwJe,7,75.3,494205.0,66.9,True,0.122,0.0,-4.827999999999999,5,0.0378,0.584,2023-08-04,76,0.104,,4,2
6oJoP8k6qfC9FoE7,6,55.1,481525.0,80.10000000000001,False,0.265,6.03e-06,-5.138,6,0.013,0.625,2017-06-02,84,0.0303,,4,12
VH4KZwr7TRHfDZMX,0,50.1,333525.0,4.54,False,0.2,3.76e-05,-32.566,6,0.938,0.255,1956,63,0.0388,99.783,4,14
ywSOdvz/srlEYKOy,5,80.80000000000001,373071.0,85.0,False,0.316,0.000109,-12.544,6,0.115,0.717,1973-09,65,0.0868,106.855,4,8
gh1Y6GcK2gDQyG3y,4,83.1,417791.0,78.2,False,0.032,0.0171,-15.96,5,0.0731,0.631,1977-01-01,68,0.0595,107.877,4,9
GYEBpZl7hQ9KsKfE,11,50.2,735071.0,75.3,False,0.0891,0.00824,-14.25,5,0.142,0.927,1994-07-26,48,0.0395,,4,12
hDb81NvAfLfpJ+Zr,8,71.6,445205.0,85.0,False,0.189,0.00133,-14.898,6,0.0631,0.821,1973-08-03,69,0.0426,125.474,4,9
95RNQaVzgETVDgQq,7,74.4,510947.0,88.0,False,0.0431,0.855,,6,9.38e-05,0.816,2011-04-16,43,0.128,149.991,4,10
rdS7ZINftVz7lmzU,4,77.5,465417.0,49.9,False,0.114,0.0219,-9.362,6,0.496,0.862,1979,55,0.0415,121.056,4,14
f7WgXaI62LlshExq,4,74.6,431497.0,24.3,False,0.0905,1.02e-06,-25.268,5,0.829,0.425,1958-06-24,72,0.123,118.578,4,10
FMzC1HpEPQ2MZ9fU,5,77.9,385417.0,15.5,False,0.0974,7.82e-06,-38.14,6,0.856,0.696,1958,54,0.112,103.251,4,10
mifBKrrHpSSoKTct,10,65.0,468927.0,91.2,False,0.293,0.8,-4.176,5,0.0241,0.191,2018-07-20,55,0.0406,129.999,4,1
vDs2iQsptPI3fURy,9,51.2,513871.0,94.69999999999999,False,0.0283,0.114,-6.318,5,0.000692,0.612,1983,65,0.0401,,4,19
lMPij90X/EDp5TOZ,11,87.8,730937.0,82.1,False,0.183,0.0461,-14.75,6,0.126,0.947,1979-08-10,77,0.089,118.881,4,10
H2F1+YHF2iCeT6r7,9,79.10000000000001,429697.0,86.2,False,0.0814,2.19e-05,-1.4800000000000004,5,0.037,0.592,2018-04-06,87,0.11,123.994,4,1
fa2QNtDbuhEgYHjw,5,62.6,368937.0,15.2,False,0.12,6.05e-05,-23.364,5,0.934,0.545,1956,60,0.0405,82.174,4,14
+Mxsrqls5AzYWe/u,5,74.2,876565.0,67.10000000000001,False,0.122,0.00441,-11.283999999999999,5,0.794,0.591,1999-01-01,58,0.0407,127.359,4,10
c/6ajzx8idFtuded,9,82.0,562565.0,83.8,False,0.0452,0.00228,-8.72,5,0.109,0.947,1982-01-01,60,0.041,132.125,4,10
ByzeKtUlYx7Egutw,1,54.0,572271.0,6.710000000000001,False,0.101,0.779,-32.266,6,0.966,0.316,1988-01-01,54,0.0397,84.192,4,15
oqyzbE4SJeWBhK34,6,62.3,559871.0,82.39999999999999,False,0.0491,0.13,-12.942,5,0.0195,0.574,1973-09,61,0.0479,111.356,4,8
IdImko7tZzK1EdnN,6,61.4,468697.0,68.0,False,0.115,1.84e-06,-4.16,6,0.369,0.707,2018-04-27,84,0.0289,149.959,4,14
MIPVHRML12OpDAjN,11,58.699999999999996,561985.0,90.60000000000001,False,0.104,0.944,,5,0.000212,0.184,2013-12-30,52,0.0419,127.98,4,2
frhRcvqkOgNSQXI0,5,79.7,306405.0,65.60000000000001,False,0.0461,0.49,-6.48,6,0.0961,0.344,2020-07-03,55,0.0948,149.998,4,1
FKotvEHJ9zjrWB+O,1,56.599999999999994,529551.0,64.7,False,0.121,0.0,-8.63,5,0.0477,0.22,2011-01-01,79,0.0335,111.96,4,16
iY36y3n76KboDT4d,5,48.8,612457.0,5.27,False,0.0882,0.911,-49.662,6,0.971,0.193,1963-01-01,63,0.0478,49.689,4,18
tI+6K6ribsONbp6H,2,38.5,403325.0,44.3,True,0.115,3.46e-06,-14.546,5,0.567,0.302,2023-06-16,59,0.114,,5,18
ekAhaiP9RukfWCa5,4,56.00000000000001,587471.0,24.099999999999998,False,0.122,0.195,-25.77,5,0.593,0.341,1970-01-01,57,0.0314,79.537,4,9
zm1BHkSTYDl0xb75,7,61.6,454751.0,78.9,False,0.142,0.0,-4.747999999999999,5,0.053,,2014-01-01,76,0.0377,83.066,4,1
fGbKPLkeCz1rUlZc,6,59.5,350995.0,67.60000000000001,True,0.357,0.0,-4.83,5,0.169,0.586,2023-06-16,57,0.412,139.806,4,18
pw0Nd0ab3IHy17BE,5,34.9,383951.0,18.2,False,0.143,0.0152,-22.014,6,0.92,0.178,1954-01-01,71,0.031,136.094,3,12
EQ4k72ItNNkbpmL1,2,,564645.0,11.4,False,0.0966,0.863,-40.092,5,0.843,0.114,1964,61,0.0509,60.484,4,6
osujct/BUm1UinH8,5,62.8,411171.0,98.0,True,0.444,0.0687,-0.5519999999999996,5,0.0105,0.464,2020-04-03,46,0.0766,128.093,4,27
7iPncCL9952VZoYl,10,,304705.0,45.5,False,0.135,0.00187,-23.414,6,0.62,0.918,1962-01-01,63,0.0485,160.9,4,11
beRbgGm39b8XrIGd,2,45.5,392885.0,10.6,False,0.122,0.0,-23.172,6,0.986,0.258,1950-09-11,59,0.0422,66.807,4,8
HELc3k06Z3U9rIyL,11,66.2,425605.0,98.2,True,0.0607,0.0367,1.6,5,0.273,0.855,2019-03-18,45,0.0692,149.995,4,1
OjnJTzMfUTqlhahh,7,63.9,424271.0,67.80000000000001,False,0.221,1.45e-06,-5.039999999999999,6,0.44,0.531,2009-09-01,69,0.0278,106.966,4,10
jJK4dExUlCXFL9Hw,4,77.4,438297.0,75.3,True,0.0371,0.0,-5.8919999999999995,5,0.152,0.896,2016-11-18,84,0.0517,119.002,4,14
h3w0pJXAjqPmcvYm,3,53.400000000000006,753845.0,96.89999999999999,False,0.269,0.564,-1.7560000000000002,6,0.000359,0.598,2004-02-02,59,0.0535,75.005,4,10
Zj1eyVqOQpyniQUV,11,62.9,607285.0,61.5,False,0.132,7.23e-05,-16.944,5,0.169,0.673,1977-06-27,60,0.0433,118.805,4,17
Ub5Sfz7M7SmeiDkg,7,60.6,340057.0,72.89999999999999,False,0.423,1.73e-06,-3.9459999999999997,5,0.24,0.527,2023-06-09,61,0.0619,80.052,4,14
eCpeJ8QvFnt3icoe,7,66.9,388725.0,,True,0.361,0.000168,-8.082,6,0.329,0.494,2023-09-15,63,,122.788,5,23
vaT9l8qwwFwxEYMH,1,64.8,364005.0,92.7,False,0.162,0.0,-2.266,6,0.011,0.361,2020-05-01,72,0.049,126.037,4,1
p5v1wbXJweSJ0WNN,11,65.10000000000001,417471.0,77.7,False,0.0474,0.0,-10.706,6,0.186,0.92,2018-05-25,63,0.167,111.707,4,56
IgnTi+YLUYl4akxW,10,76.7,504271.0,49.6,False,0.0853,0.0723,-17.798,6,0.237,,1978,48,0.0307,110.932,4,10
VsZE+KFDvbhW3BJP,2,75.2,261705.0,92.9,False,0.0534,0.013,4.0280000000000005,6,0.115,0.574,2020-11-19,41,0.111,150.079,4,13
XB1ZC8dKztC04guO,1,64.8,295551.0,43.0,True,0.259,0.000567,-14.187999999999999,6,0.617,0.0788,2023-03-03,65,0.0356,92.041,4,14
IucanJs+c1Zpzn0z,7,29.099999999999998,364149.0,37.6,False,0.11,2.04e-05,-18.82,6,0.0354,,2023-10-13,62,0.0502,178.399,4,1
ZAs5VWLh0t8/xqhc,0,73.7,344653.0,80.2,True,0.0931,0.0,-4.542,6,0.468,0.682,2020-10-30,84,0.0878,,4,14
NBEFMEX5bEu9sdLN,2,30.0,543817.0,93.60000000000001,False,0.158,0.021,-5.798,6,0.0337,0.756,1984,54,0.0456,133.065,4,8
Wr3MLRGLm08yjrGN,1,62.6,368183.0,30.9,True,0.117,1.31e-05,-15.794,6,0.85,0.369,2023-10-06,83,0.0433,117.94,4,23
FXEx8t0AzJjwBE7F,9,56.3,362005.0,54.2,False,0.355,3.59e-05,-16.724,6,0.706,0.785,1989-01-01,57,0.0962,133.285,4,16
HpjmXiJPIfnItsGI,0,57.199999999999996,489737.0,39.800000000000004,False,0.128,4.59e-06,-16.502,6,0.841,0.76,1966-01-01,61,0.0376,86.135,4,11
bzOqFSfyD617ddP3,4,27.700000000000003,1648271.0,24.2,False,0.113,0.464,,6,0.694,0.285,1961,56,0.0342,175.384,3,6
djIpt1f17OnwDELF,7,78.3,386805.0,57.99999999999999,False,0.108,2.28e-06,-8.096,6,0.0114,0.66,2012-01-01,76,0.0408,120.021,4,17
H/NhHcpDQHtbIAuT,7,60.199999999999996,371337.0,34.4,False,0.133,0.0,,6,0.513,0.315,2023-05-26,64,0.149,137.702,3,11
49IjBtCxIHGXTOAp,0,78.8,353445.0,48.9,False,0.118,4.73e-05,-10.458,5,0.554,0.779,2023-06-09,61,0.0415,104.032,4,14
RLw8BbPfwZGbyoFq,5,71.6,431711.0,72.0,False,0.135,0.0,0.6340000000000003,6,0.307,0.464,2005-01-01,75,0.0319,122.512,4,11
W3MHQify+NnAZYyf,8,80.5,251205.0,98.8,False,0.0229,0.00839,-2.8259999999999996,6,0.0687,0.551,2020-02-08,48,0.214,149.937,4,1
tfxz8pzsDT+6jtCt,7,66.10000000000001,380377.0,75.1,False,0.105,0.0,-0.8179999999999996,6,0.0571,0.875,2013-01-01,76,0.0481,109.995,4,13
vBfvJFNFWSIG5l0R,9,44.6,727177.0,97.0,False,0.199,0.000275,-5.007999999999999,5,0.00754,0.595,1984,57,0.0508,94.233,4,8
MkF39Qnl3S1C2pAg,8,83.6,411005.0,59.8,True,0.101,2.89e-06,-6.6579999999999995,6,0.242,0.908,2023-08-02,59,0.448,159.997,4,1
rukCRgBK9CQ0YI+p,7,66.9,424671.0,78.0,False,0.143,1.63e-06,-3.574,5,0.0265,0.738,2013-11-11,79,0.053,139.945,4,14
N01pJusBbyYdAOSq,3,54.2,579125.0,50.2,False,0.174,0.00812,-16.214,5,0.195,0.948,1968,57,0.0515,,4,8
JxSg+4xwX992m997,10,76.2,390005.0,48.0,True,0.0907,0.0,-8.19,5,0.611,0.598,2023-08-23,73,0.0471,127.95,4,1
/DXOBdMn1WPdJ8ra,4,73.1,374629.0,63.2,False,0.0809,0.0125,-23.48,6,0.146,0.326,2017-06-22,53,0.0623,145.027,4,1
leYf6xkEJHhI/Cl7,0,69.6,589151.0,92.10000000000001,True,0.0842,5.24e-05,-2.51,6,0.00314,0.714,2009-11-05,84,0.0363,119.001,4,23
k+QWnNlF3X3nTUsm,9,70.5,334457.0,40.1,False,0.319,0.0,-14.012,5,0.812,0.649,1975-01-01,44,0.0475,104.956,4,20
/6EcDPYJlfkJ/Wpe,0,87.2,1030005.0,38.4,False,0.0687,0.317,-27.408,6,0.418,0.938,1973-01-01,54,0.0388,102.597,4,8
qRg3tZ+f2WEc/yiS,1,83.0,425125.0,79.5,False,0.358,0.0,-7.726000000000001,5,0.12,0.945,2012-06-04,66,0.0481,130.004,4,16
A/08CYTebEbmqCcx,11,49.9,561685.0,5.390000000000001,False,0.0839,0.0287,-38.764,6,0.972,0.324,1973-03-01,60,0.0396,72.981,4,11
45vIeA3qWoo4CPQU,2,84.8,336005.0,97.6,False,0.224,3.03e-05,-1.7599999999999998,6,0.0341,0.79,2021-12-10,41,0.184,150.024,4,1
mt8ahKsQk/0b4Kd8,2,50.4,362885.0,6.4399999999999995,False,0.174,4.36e-06,-24.508,5,0.972,0.403,1933,67,0.0408,106.994,5,230
KmR/HE6jcQC2sNB7,6,61.199999999999996,414085.0,79.10000000000001,False,0.112,0.0,-2.0380000000000003,6,0.224,0.786,2010-06-29,66,0.0291,133.977,4,12
OiD1iS3Nl2muDyLi,2,36.199999999999996,307685.0,96.1,False,0.159,9.35e-06,-6.327999999999999,6,0.024,0.491,1980,75,0.0857,164.019,4,11
5FHBaeGxVqFV/gLN,2,20.3,347071.0,8.95,False,0.108,0.0213,-34.51,5,0.971,0.115,1991-01-01,59,0.0404,173.451,1,36
msbJavI9V3oCIfEn,4,56.599999999999994,329791.0,65.7,False,0.156,0.896,-15.66,6,0.751,,1993-06-08,51,0.0693,145.359,4,46
d/IFP5SNGgB51rg1,9,39.800000000000004,685647.0,93.89999999999999,False,0.357,0.000881,-0.7300000000000004,5,0.00591,0.235,2014-10-15,74,0.0648,92.027,4,16
9h2GdMzaMPSyr6BD,6,69.5,407619.0,88.4,False,0.213,0.0,0.44399999999999995,5,0.0561,0.914,2020-03-27,83,0.0753,103.014,4,11
9OoTRjtGLXZFwTv0,0,30.9,774297.0,76.7,False,0.0967,0.151,,6,0.000305,0.413,1986-03-03,60,0.033,97.944,4,137
6pzL6IxETohUYyAl,5,77.3,475709.0,68.5,False,0.113,6.85e-06,-10.058,5,0.064,0.576,2023-09-29,71,0.309,95.043,4,16
Bm+5h1k9YYnsE6zX,6,,430351.0,82.3,False,0.0523,0.0,-12.052,6,0.127,0.702,1997-06-03,70,0.0297,94.342,4,11
RswGwkFCQMK32sS2,0,67.0,294297.0,36.5,False,0.0575,0.0,-15.315999999999999,6,0.525,0.45,2015-04-21,66,0.0564,119.344,4,26
WSKIQRXDj+rmyPdL,11,17.2,596271.0,6.959999999999999,False,0.137,0.00199,-37.59,5,0.916,0.103,1958-01-01,67,0.0339,167.974,5,15
YbG9vD2nl/M+D2ac,2,63.5,486671.0,2.78,False,0.213,0.872,-38.008,5,0.537,0.12,1999-04-26,53,0.0406,103.016,4,11
Ns2jEIjyd9XsV3NA,0,62.6,308789.0,61.5,True,0.139,0.0,-6.118,6,0.32,0.65,2023-07-07,60,0.0332,139.883,4,4
MZHYh/1uit45SoN8,9,70.7,367791.0,26.1,True,0.127,0.0,-15.277999999999999,5,0.853,0.545,2022-12-09,78,0.0784,65.038,4,23
zxjXNcWKEt8Q7lDw,0,57.199999999999996,550537.0,34.8,False,0.235,0.000721,-21.908,6,0.44,0.34,1993-03-01,59,0.0294,73.304,4,11
u9RoZ+xWc1ZB09sk,9,32.9,519525.0,88.5,False,0.735,0.00433,-16.322,6,0.0242,0.481,1985-10,62,0.0904,163.538,4,9
sxJlJvndE3OEnolP,9,67.7,359017.0,55.60000000000001,False,0.105,0.0,-8.088,6,0.263,0.521,2017-10-06,75,0.0306,80.006,4,15
v76ytzbR8qzhLPeZ,8,77.7,399029.0,63.1,True,0.119,4.4e-06,-6.298,5,0.183,0.337,2023-08-18,67,0.0612,96.015,4,7
YqXiFdwwXs4HhpNI,0,26.200000000000003,375337.0,35.6,False,0.175,0.0,-11.062000000000001,5,0.613,0.426,1960,70,0.0303,174.176,3,14
